# features	PSMA264U	HSM67VD2	HSMA33OT	HSM6XRVK	CSM79HI3	PSM7J182	MSM6J2RS	CSM79HP4	CSM67UGO	MSM9VZMI	ESM5ME9U	PSM7J154
1.1.1.205	1.3037709637511128	1.1846103726495307	0.8670282187139212	0.9285365816558087	0.6644836109806481	1.2781685978648765	0.43080409075719533	1.7770647144846874	0.6914196875199429	2.029558289985037	0.3166063396695352	1.5138797268225388
1.1.1.21	0.0	0.0	NaN	0.0	NaN	NaN	0.0	0.0	0.0	NaN	0.0	NaN
1.1.1.215	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.218	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.22	0.22902766611472283	0.18386349911680805	0.2539486887370381	0.4626470512289656	0.22364488043504194	0.4503411141433802	0.0	0.5888816263672103	0.20205823590401248	0.36765301670853257	0.0	0.08054550110683137
1.1.1.23	0.6997214549752809	0.7019537620640119	0.16172951091714885	0.40368038901472847	0.4441654111802431	0.19962340147577023	0.33759616293427097	0.3634415570727051	0.2638017397591046	0.08386996435373446	0.0	0.18618567370259972
1.1.1.237	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.243	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.244	0.0	NaN	NaN	0.0	0.0	0.0	NaN	NaN	NaN	0.0	0.0	NaN
1.1.1.25	0.4222487419208061	0.671899246088546	0.35227261648812286	0.14891793399234213	0.12979659148827544	0.10667289160385904	0.0	1.0134447070588948	0.14473526569634185	0.48179113675311935	0.0	0.17470411460517934
1.1.1.251	NaN	NaN	NaN	0.0	0.7553205547152321	0.0	NaN	NaN	NaN	0.0	NaN	NaN
1.1.1.255	NaN	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0	NaN	NaN	NaN
1.1.1.26	NaN	0.0	NaN	NaN	NaN	0.0	0.0	NaN	0.0	0.0	NaN	0.0
1.1.1.261	0.5167328693599496	0.0	0.0	0.5690169548966215	NaN	0.4214438197746699	0.0	0.8830327067347353	NaN	NaN	0.0	0.0
1.1.1.262	1.39403235662423	1.1645304289152787	0.8889135082005485	1.167580412648362	0.0	3.1382925277505653	7.9430001740971	2.0830412384558703	1.46051760590976	2.3287851016081067	1.5188551796377352	2.001229995761883
1.1.1.264	NaN	NaN	NaN	NaN	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1.1.1.266	0.0	0.0	0.0725074681807728	0.0	NaN	NaN	NaN	NaN	0.0	NaN	NaN	0.0
1.1.1.267	0.5407482165229719	1.2389505312049895	0.544030142358756	0.6606821624282377	1.1500963549814858	0.30356513568067106	0.0	0.6726361367406513	1.3195413389312316	0.2007736947114279	0.20947852461019045	0.1888345127813213
1.1.1.268	0.0	0.0	NaN	0.0	0.0	0.0	NaN	0.0	NaN	NaN	NaN	0.0
1.1.1.27	0.2408747961085631	0.0	1.3527000958762805	0.24483973782382526	1.2299347837451426	0.23567575972169402	0.0	0.3380134150879316	0.0	0.0	0.0	0.0
1.1.1.271	0.6063038944308484	0.6317111652775059	0.34319436375241863	1.0458617941329285	0.0	0.37137960140687276	0.0	0.2835842490586321	0.2800934282674918	0.25347557519695363	0.0	0.17029901976532133
1.1.1.272	NaN	NaN	NaN	NaN	4.878815594929001	NaN	0.0	NaN	NaN	0.0	NaN	NaN
1.1.1.274	0.0	0.0	NaN	0.0	0.42703497228266435	0.0	0.0	NaN	0.0	0.0	4.034466308174935	0.0
