# features 	SH_002	SH_007	SH_011	SH_012	SH_013	SH_014	SH_015	SH_017	SH_021	SH_022	SH_023	SH_024	SH_029	SH_034	SH_038	SH_039	SH_042	SH_045	SH_051	SH_053	SH_055	SH_058	SH_068	SH_072	SH_078	SH_079	SH_083	SH_084	SH_089	SH_093	SH_094	SH_111	SH_117	SH_123	SH_133	SH_144	SH_146	SH_166	SH_205	SH_247	SH_500	SH_501	SH_502
2.3.1.47 8-amino-7-oxononanoate synthase	12.450900319652	6.56815025205277	1.23448003733068	8.97970921954653	11.6853994249206	2.24350987287488	9.72229945334427	0.501750878235097	10.9755012544449	8.43699050209374	4.26566000583116	8.36948063377892	2.72438020065959	8.91969915129955	5.7770805338889	2.2811500417268	5.82041984112582	12.8483003582492	13.2061000135759	8.09086926542674	2.73828984898331	6.2600103862946	11.0500996499218	8.01774051733669	4.97234961808128	1.9321501594449	5.9283905439654	4.849969148876	1.1569100545298	6.10047990200799	14.5330012842232	4.19165021488076	6.86102024173433	16.058200217412	2.78713003244219	3.27212980556677	12.5298007393334	11.0641005232545	7.93179921752801	5.42044955688367	4.35988039642213	0.373722056523219	17.3587999791521
2.3.1.48 Histone acetyltransferase	0	1.89063007255293	0	0	0	0.055449996858009	0	25.8515937263352	0	0	0	0	0	0	0	0	0	0	0.177694000182669	0.009416999145027	0	0	0	0	0	0	0	0	0	0	0	0	0.106054003736601	0	0	0	0	0.01301270061541	0	0	0	0	0
2.3.1.50 Serine C-palmitoyltransferase	0.354618009104108	0.582087022337589	0	2.46141978607062	2.41226988128376	0.102554994188875	2.94573983436989	0.126089969400486	1.05516012059953	1.52375009067989	0.426872000583534	0.025469501928678	0.135808010002708	0.874556916786784	0.823293076084629	0.250116004575122	1.06499997092976	1.46724004091105	1.08110000111137	0	0.511018971817304	1.32735008190852	1.44349995426848	2.00156012914867	1.42569989049413	0.419853034647112	1.83460016833557	1.19644979003431	0.016039100755987	0.038336999384193	3.12895027649282	0.780340040003352	1.77637006258685	5.85757007930564	0.417085004854869	0.45194897314474	1.4404500849952	2.40115011355759	0.512064949484793	0.879460928104948	0.747449067961806	0.067055610141759	3.96948999523264
2.3.1.51 1-acylglycerol-3-phosphate O-acyltransferase	9.60528024659636	10.3858003985551	12.162400367791	14.2301987632107	16.008899212146	18.7469989377294	17.0899990390806	9.85376760868768	13.8113015785627	17.1451010203221	11.8533000162035	14.2775010811638	18.7364013799978	12.4264988176311	14.3033013218396	21.4028003915	15.6561995726484	17.7754004956315	15.1512000155754	5.14129953321936	16.7755990748257	15.9292009829639	12.9819995887173	15.2401009833523	14.6495988747863	11.2678009298415	17.5422016096023	21.2384962728435	9.96003046945608	18.6646997001889	15.128601336854	23.4633012028227	12.9862004575428	15.0994002044308	21.0339002448346	24.5128985434191	17.1036010092151	14.1092006672664	9.56767905614846	17.4864985704962	17.153401559673	13.2776020081576	14.7017999823431
2.3.1.53 Phenylalanine N-acetyltransferase	1.30203003342702	0.021066400808423	0	0.026684897680736	0	0.02479779859487	0.026976698483181	0	0.666542076182427	0	0	0.025694401945709	0	0.50795195166888	0.052805804880049	0	0.288333992129635	0	0.005446140005599	0.56869194836823	0.006319629651472	0	0.11208799644894	0.425815027475289	0.042828996710369	0.00320411026441	0.010219400937691	0.000818877856295	0.04321020203667	0	0.134742011906613	0	0.203867007182846	0	0.071245600829299	0.029065898272875	0	0.552274026118695	0	0.092859192408854	0	0	0
2.3.1.54 Formate C-acetyltransferase	21.0820005412382	4.78572018365201	16.4012004959723	6.51940943337857	8.78428956769437	18.2369989666278	10.9764993828244	3.69679910286079	20.3881023302581	8.33527049604028	21.2867000290989	9.65464073109767	17.705601304076	13.4711987182289	8.7146708053663	12.2536002241429	8.17685977680444	10.9225003045521	8.53513000877411	31.8569971076905	13.1270992760405	9.68650059773749	10.0968996801201	9.51634061403236	6.71031948459043	3.73473030819741	9.54249087558079	18.5609967427195	17.224700811869	14.6334997649421	4.85048042861755	17.4054008922705	9.45303033305862	2.92601003961525	17.1932002001289	17.4166989650823	10.2818006066879	10.9752005190502	21.476897881304	16.7529986304591	7.76418070595813	27.202104114155	9.47902998861569
2.3.1.57 Diamine N-acetyltransferase	4.16109010682767	3.27424012564896	0.943394028528235	5.25995954284114	3.25125983999412	3.62159979478748	3.19362982043178	0.516378874685175	5.93771067865064	3.69087021964738	2.25116000307734	0.780056059069745	1.96395014465141	5.48030947855403	3.17752029365054	2.23250004083689	5.56125984819985	4.11401011471094	2.75736000283457	3.02986972491692	2.11880988314763	3.40292020998842	5.57669982332457	9.83404063453164	2.05140984243429	2.31320019088991	2.45798022553443	1.94787965816543	10.7039005045176	5.28339991513275	10.1085008932478	2.31710011878382	3.71318013082648	5.33620007224681	1.13397001319941	1.91713988608163	4.23940025015005	2.93604013885415	5.0264095041447	1.74495985735128	2.79034025371169	0.79593412038026	4.71945999433193
2.3.1.61 Dihydrolipoyllysine-residue succinyltransferase	4.78566012286225	0.064652902481055	0.452183013674014	0.183272984071195	0.077537196184123	0.333650981094167	0.267407984964451	0	5.5737906370564	0.065065003872084	0.089310500122088	0.23172901754768	0.182895013470821	2.77515973594633	2.02793018741117	0.113323002072904	1.51711995858869	4.13024011516348	0.458797000471643	12.0037989101703	0.155831991405866	0.609506037611582	1.22447996120725	3.30363021316344	0.276736978744248	0.646190053324896	0.248367022789165	0.08581798493975	0.108603005118894	0.308322995047408	1.16028010252931	0.007898700404919	0.870717030677973	0.112028001516747	0.334754003896537	0.465670972329365	0.194994011505817	2.23017010547143	0.210979979186825	0.704517942406363	0.414561037693962	0.019519802952253	1.24140999850907
2.3.1.79 Maltose O-acetyltransferase	6.14989015788613	3.7118801424434	0.87379102642344	9.21140919940879	8.35439958885076	1.22755993044216	5.04734971620267	2.09898949061723	6.68541076410902	3.04412018115864	4.85660000663897	7.25537054941293	2.20546016243942	7.97292924138376	9.84792091009561	2.63900004827259	7.46224979631043	7.80428021760674	10.4402000107325	6.24987943257095	2.02250988845858	2.5590901579171	2.57943991828076	6.93081044720361	1.88939985487803	4.45232036741438	3.04420027932364	1.73285969589941	2.75559012988198	10.0597998384094	5.79907051244066	1.86869009579653	2.31314008149886	9.05633012261365	1.26046001467175	3.51587979108291	7.66265045214235	6.84879032389984	4.81561952493913	1.82855985051706	2.89495026322335	0.388860058812751	7.39118999112318
2.3.1.8 Phosphate acetyltransferase	7.41378019033398	4.96145019039565	3.07222009290393	2.16275981202806	4.8344397620803	6.90570960869832	1.94387989070147	4.7215588541721	6.7433107707267	3.32761019802941	3.25741000445288	2.68590020338979	1.43668010581623	7.74841926274566	9.59390088662035	3.01397005513154	5.74347984322598	6.09028016981528	4.04516000415843	7.10701935475087	5.86540967652266	2.99407018475898	3.99918987330167	6.4013204130388	2.38292981697074	3.58022029544694	4.77121043778719	3.92215931169791	11.9196005618185	5.2327899159457	6.67424058977594	4.09487020991943	4.50956015888533	1.33018001800931	6.47935007541964	4.38786973926839	4.3802002584581	3.64143017221416	4.10323959521541	5.04359958769078	6.37728057985424	4.59538069502376	3.75731999548746
2.3.1.81 Aminoglycoside N(3)-acetyltransferase	0.794231020390293	0.095950503682101	3.68133011132342	2.64130977043584	2.56319987385596	0.763575956733114	1.41523992042531	0.253284938532811	0.216545024750014	2.19762013078257	0.588031000803838	1.51005011434855	0.344951025406781	0.19846998111578	1.34330012414108	2.63934004827881	0.838044977124724	0.772468021538726	0.079923800082162	0	1.37550992414063	2.65395016377075	0.051257598376108	0.316049020392747	1.48754988574352	0.475299039222627	0.967307088756229	5.22246908350577	2.0070500946003	0.089765098558103	0.08647250764123	3.05458015659	1.14317004027731	0.630317008533862	0.604763007039441	0.889051947171644	0.229038013514617	1.21538005747897	0	2.6079597868019	1.41703012884346	4.48599067847917	2.06361999752159
2.3.1.85 Fatty-acid synthase system	0.231643005946971	0	0	0.029667497421509	0	0.047671497298766	0	0	0	0.09330930555293	0.047984200065594	0	0.015292101126314	0.33756896788065	0	0.072003801317094	0.027320399254262	0	0	0	0	0	0.115074996354309	0.08685620560431	0.112312991373408	0.312442025783341	0.057969605319059	0	0.181093008535638	0	0	0.433821022239401	0.0045326901597	0	0	0.03424899796489	0	0	0	0.018297998504157	0	0.010029601516917	0
2.3.1.86 Fatty-acyl-CoA synthase system	1.52693003920087	1.91543007350463	0.22808400689726	2.86177975127414	1.97297990290275	0.214241987860299	3.43363980693673	0	0.367229041972443	3.32351019778542	0.592687000810203	4.23546032073023	0.503245037065658	1.59866984788816	1.58983014692415	1.08897001991944	1.26317996552024	2.26987006329079	4.12427000423975	0	1.23607993183019	0.796936049177569	2.83105991030919	2.95305019054261	1.31804989876256	0.237056019562337	2.70526024822386	1.80548968315353	0.105344004965284	2.80302995497493	2.05535018162307	0.778836039926251	2.35468008296244	1.11463001509098	0.823273009582898	1.0165699395944	3.00946017757621	1.97901009359332	3.69783963520812	1.53598987443436	1.34125012195317	0.174409026378319	3.52748999576348
2.3.1.89 Tetrahydrodipicolinate N-acetyltransferase	1.39208003573887	0.547659021016415	0.803630024301772	0.952458917218938	3.73657981610983	1.37711992196757	1.00559994345813	0	0.144553016521687	1.31232007809748	1.43386000196009	1.44954010976643	0.799676058898781	2.85705972815362	4.46497041263024	2.09386003830089	3.22234991204274	2.18548006093774	4.53155000465843	0.052759195209972	0.729289959779659	1.01913006288878	2.11118993311539	2.34641015139977	0.799497938591763	0.596522049226192	0.712773065401205	0.679993880667466	3.03780014318367	2.01188996768301	1.93517017100325	1.60833008244943	0.803094028295412	3.38548004583601	0.719343008373153	0.439666973874549	2.63330015538051	1.55392007348954	2.96096970790034	0.700080942769083	0.252740022980387	0.214741032478293	2.38704999713315
2.3.1.9 Acetyl-CoA C-acetyltransferase	11.5049002953653	2.04415007844426	8.86291026801441	5.55280951738867	5.97300970604729	13.0694992594364	6.07851965822308	1.8505995508965	12.3330014096004	6.62240039410567	8.20791001122021	6.92544052442899	13.5257009962125	8.15712922385731	3.49755032322611	9.8733601806035	6.02131983564205	6.51314018160589	2.91943000300117	8.79152920181355	12.3151993208168	7.81147048203256	5.18380983577172	9.25642059726128	4.00651969226523	4.5418203748001	7.51948068995747	14.4987974555973	8.60959040580443	9.18842985240625	4.75169041988788	11.7244006010397	5.51138019418246	3.94780005344926	14.6553001705877	12.8203992381991	6.11333036072317	7.58504035871931	1.68392983388032	10.7452991215825	6.61928060185809	8.7980713306555	4.34272999478438
2.3.1.94 6-deoxyerythronolide-B synthase	1.52612003918008	0.002823670108358	0	0.057820094974682	0.051377097471553	0.016389499071314	0.003526409801721	0	0.060412306904825	0	0.081868500111914	0.012324300933258	0	0.894278914910256	0.105143009716791	0.792387014494343	0.461842987393534	0.319347008904353	0.015888300016333	0.588386946580114	0.053214297065232	0.001348780083231	0.020821399340357	0.174784011277764	0.16068598765795	0.045867303785062	0.097232108921629	0	0.364620017186	0.009413659848788	0.143612012690419	0.099042705077325	0.145974005143102	0	0.01136000013223	0.907459946077822	0.014956400882517	0.154480007305823	0	0.029529597585985	0	0.123199018633112	0.14433799982665
2.3.1.n2 Transferred entry 2.3.1.274	7.58474019472303	7.45733028617505	15.5150004691736	13.188498853748	9.2283195458421	19.3529989033913	11.7120993414638	7.08098828158576	9.77094111676971	11.439800680794	13.05780001785	16.1227012208915	17.9325013207879	10.6665989850838	5.16820047761925	20.1911003693356	11.9709996732396	8.12968022667987	5.28942000543753	5.48539950197839	22.5602987557995	12.8189007910326	7.28082976933603	12.1117007814954	19.6011984944613	17.3177014290914	14.1542012987329	20.9691963201032	10.862900512012	13.4974997831897	8.17698072256708	19.2081009846841	14.2020005003791	6.69023009057903	21.1398002460673	16.9442989931528	8.74668051610663	9.56638045242283	3.21206968312933	16.1298986813969	13.7505012502643	15.951502412569	6.69950999195389
2.3.1.n3 Transferred entry 2.3.1.275	5.05041012965918	16.5219006340279	15.1493004581148	10.6129990775924	8.85847956404322	15.9031990988691	9.62531945879716	7.35845821424936	4.43725050715555	9.02769053724689	10.2454000140055	14.7408011162472	16.9705012499334	10.2663990231624	7.18920066438998	15.2559002790609	10.9351997015128	6.09199016986296	4.90373000504104	0.526281952218651	23.4895987045486	12.005500740839	11.2423996438295	9.16619059143928	16.3381987450875	20.2092016677037	14.9927013756703	18.4243967666916	10.1269004773213	13.0716997900293	7.31681064655729	18.6113009540897	14.7194005186086	6.67509009037404	17.5368002041284	16.7981990018342	9.55620056387317	7.9132703742423	3.5848596463536	14.4799988162746	11.6228010568032	15.064802278461	4.81376999421866
2.3.1.n4 1-acyl-sn-glycerol-3-phosphate acyltransferase	0.582688014959349	0	0	0.011296499018187	0	0.053090696991695	0	0	0.845025096582143	0	0	0.009614200728035	0	0.476061954703181	0.119995011089339	0	0.193635994714512	0.516988014415177	0	3.20630970889786	0	0.027150501675411	0.114543996371132	0.166497010743053	0.032043097538818	0.078738006497618	0.004437340407153	0.002256939603928	0	0.024334299609118	0.129530011446049	0	0.124842004398558	0	0.064396600749577	0.02363069859584	0.014571500859806	0.059120802796	0	0.227899981369404	0	0	0.169056999796963
2.3.1.n5 transferring)	1.52155003906275	0.029476101131145	0	0.044948896093357	0	0.128899992696075	0.097795794501236	0	2.32741026601136	0	0	0.05911680447662	0	1.06376989878336	0.536863049614199	0	0.305782991653347	0.730358020364573	0.058387300060022	4.06695963075911	0.019024998950771	0.07015230432898	0.475074984949149	0.678331043768632	0.065907094937775	0.138090011395464	0.021613001983123	0.019671096547908	0.056452002660809	0.052054899163842	0.563634049806087	0	0.368046012967365	0	0.130604001520231	0.080510695215974	0	0.555366026264925	0	0.433889964529929	0	0	0.589257999292301
2.3.2.2 Gamma-glutamyltransferase	7.68697019734759	0.468484017978074	0	0.308030973228104	0.488239975972002	0.624167964632458	0.309329982607303	0	7.19519082237433	0.167584009973092	0.229364000313541	0.37314902825671	0.159849011773407	4.66154955645822	1.53278014165188	0.132799002429159	1.48243995953532	2.59501007235667	0.368313000378626	19.1952982572512	0.305581983147154	0.373130023025219	1.86008994107049	1.1072500714442	0.235430981916899	0.729861060229594	0.250419022977448	0.023156295936288	0.559562026374396	0.171248997249227	1.9541101726769	0.005610940287639	0.935315032953955	0.291145003941812	0.468873005457682	0.569690966148393	0.32246601902743	3.5812001693657	2.22141978085694	0.957762921703839	0.035712803247187	0.078553011880672	0.672886999191863
2.3.2.26 HECT-type E3 ubiquitin transferase	0	0.958423036779484	0	0	0	0.008849379498563	0	21.2642948395809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032734001153317	0	0	0	0	0	0	0	0	0	0
2.3.2.27 RING-type E3 ubiquitin transferase	0	0.711160027290766	0	0	0	0.075314195732434	0	8.18583801346083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023766600837369	0	0	0	0.042656602516996	0	0	0	0	0	0
2.3.2.3 Lysyltransferase	5.71918014682851	5.5234502119624	8.65640026176954	8.73187924108618	8.05492960358872	12.7465992777331	7.87452955723883	6.29564847217203	3.69329042212463	6.90973041120497	9.41009001286359	6.85308051894952	15.8673011686791	9.84075906366162	3.72462034421079	14.0724002574123	7.23811980242828	5.40162015061337	3.60437000370529	0.01754909840671	21.2063988304671	10.7946006661165	5.60298982249168	7.3357804733339	6.97245946445585	5.29049043658185	12.4791011450324	10.8641980934354	12.7655006016891	19.578599685509	5.85983051780978	14.3569007359922	11.1859003941128	10.6141001437043	11.6849001360122	13.3923992042102	6.93266040906856	3.82053018068433	4.922189514426	12.5812989714914	9.19204083578631	9.64769145915545	3.59093999568728
2.3.2.31 RBR-type E3 ubiquitin transferase	0	1.01862003908954	0	0	0	0	0	22.4242945580722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2.3.2.6 Lysine/arginine leucyltransferase	5.46318014025622	11.2374004312352	11.4473003461664	4.5837596016117	3.69575981811872	2.29261987009213	5.10344971304833	0.244653940627382	9.13810104443926	5.29875031533393	6.75319000923161	4.55366034482593	1.73866012805806	2.963919717986	6.01547055591971	1.62110002965316	2.35681993566824	4.4203601232529	5.281130005429	6.41599941748885	1.39909992283964	6.2681503867969	9.87496968715108	4.29346027703123	3.75620971149117	5.31127043829666	4.86776044664623	2.01257964681119	1.44440006808035	2.53923995921219	6.12573054130631	1.64009008407758	5.5748501964187	7.5638601024071	1.4831100172634	1.89745988725104	5.88723034738192	5.93689028077335	6.22635938576965	3.56285970873978	1.38056012552743	3.74823056689738	5.9674399928331
2.3.3.1 Citrate (Si)-synthase	3.75358009636566	0.984892037795232	2.32348007026204	1.35290988241454	0.357312982415378	5.15193970807306	1.0847599390072	1.77592956901741	3.58994041031224	1.78828010642234	0.792369001083168	1.00177007585904	0.419719030913692	1.92045981727017	1.22125011286183	1.76690003232014	1.02274997208302	1.91416005337252	0.60602100062299	4.07122963037143	1.43706992074559	2.30381014216421	0.774547975461545	1.30734008435481	0.829006936325221	1.52410012577179	1.16803010717377	4.2107292610566	2.03085009572209	1.67391997311182	0.51958004591321	2.3331401196061	1.26971004473569	0.440692005966529	1.81320002110565	0.911624945830334	0.734133043318254	2.71711012850029	0	2.90630976241208	1.63926014904973	6.05221091536059	1.73012999792211
2.3.3.10 Hydroxymethylglutaryl-CoA synthase	0.010472500268861	0.183765007051982	0	0	0	0	0	4.54699889653431	0	0	0.10610800014505	0	0	0	0	0	0	0	0	0.005864589467552	0	0	0	0	0	0	0.005236760480504	0	0.254021011973026	0	0	0	0.019869300700055	0	0	0	0	0	0	0.024227598019418	0	0	0
2.3.3.13 2-isopropylmalate synthase	17.5947004517087	26.2841010086524	23.2318007025296	27.7408975889554	22.3238989013628	23.2829986807038	25.1448985861778	8.51319793401713	14.394601645231	23.9867014274726	24.8796000340104	23.4577017763345	23.1509017051403	18.7411982167937	18.581301717191	24.7707004531057	24.3557993351841	22.6227006307888	24.2678000249473	9.76677911327022	26.7221985262707	23.0010014193527	22.9310992735198	21.1163013625082	16.0213987694204	21.6412017858752	24.9308022875507	24.7932956490097	22.8003010746694	27.7634995540349	17.2909015279278	21.8910011222203	21.3086007507659	22.5726003056104	23.2669002708267	23.2491986185094	26.6583015729997	20.6642009772721	23.6251976693742	22.5205981589636	19.5387017765565	20.8328031508365	23.0613999723033
2.3.3.14 Homocitrate synthase	0	0.198780007628183	0	0	0	0.021575298777468	0	0	0	0	0	0	0.016065801183299	0.127506987867838	0.192932017829812	0	0	0	0	0	0	0	0	0	0	0	0.007896560724557	0	0	0	0	0	0	0	0.03832820044614	0.022856498641844	3.15177018597335	0	2.24109977891551	0	0	0.020989003174461	0
2.3.3.16 Citrate synthase (unknown stereospecificity)	3.94328010123583	0.165371006346112	0.293597008878373	0.228808980113525	0.114699994355212	1.13449993571526	0.206569988385189	1.85270955038445	2.19914025135074	0.057584903426935	0.129164000176567	0.191374014491797	0.198110014591456	2.80787973283305	0.42100903890755	0.300446005495758	0.79674897825194	0.692586019311376	0.234483000241048	3.17489971174958	0.110379993912543	0.217694013433527	0.354815988759075	1.44074009296231	0.610160953134452	0.835784068970573	0.209388019212607	0.228912959827927	12.0297005670079	2.85703995410737	0.715504063226232	1.22696006289888	1.56753005522879	0.138334001872904	0.254995002968142	1.06686993660552	0.39741602344993	0.666047031499362	0.719295929041457	0.842176931152878	0.261261023755159	0.619541093701873	0.559988999327453
2.3.3.5 2-methylcitrate synthase	4.26413010947301	0.510540019591973	0.222080006715699	0.227337980241374	0.317623984368612	0.9359499469658	0.165221990710063	2.44534940656261	3.57507040861267	0.020696601231676	0.02686140003672	0.133800010132006	0.160860011847871	5.3124394945267	1.13270010467848	1.25383002293506	1.11426996958489	1.83150005106772	0.18368700018883	6.91629937206641	0.197309989118354	0.31474501942238	0.62548498018401	2.41997015614615	0.40255896908005	0.735773060717464	0.172073015788732	0.060817589327085	0.212784010029362	0.421046993236722	2.12454018773712	0.584054029940946	1.27779004502038	0.0363838004926	0.442157005146707	0.326391980605462	0.330094019477528	1.16785005523113	0.062388493845375	1.42768988328778	0.750092068202121	2.06424031220396	1.02501999876895
2.3.3.9 Malate synthase	12.0085003082942	0.372746014304128	0	0.463139959747117	0.041969297934544	0.82443495328463	0.187018989484483	5.53038865788528	11.0744012657487	0	0	0.512717038825498	0	3.73180964492204	1.09311010101977	0.075143401374523	2.65420992755069	4.58302012778835	0.401232000412467	23.2801978863815	0.231353987240828	0.191704011829729	1.9755499374126	4.14420026740038	0.382591970613685	0.871455071914215	0.081744907500586	0.013068597706584	0.15470000729163	0.490864992115236	3.24747028696596	0	2.37642008372841	0.124047001679472	0.917473010679386	0.435111974145211	0.161381009522448	1.83362008671739	0.763165924713682	1.20705990132406	0.062156305651562	0.050428307626979	0.944773998865326
