Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1_0 pair1	decontaminated hg37dec_v0.1_0 pair2	decontaminated hg37dec_v0.1_1 pair1	decontaminated hg37dec_v0.1_1 pair2	decontaminated hg37dec_v0.1_0 orphan1	decontaminated hg37dec_v0.1_0 orphan2	decontaminated hg37dec_v0.1_1 orphan1	decontaminated hg37dec_v0.1_1 orphan2	final pair1	final pair2	final orphan1	final orphan2
MSM79HDQ	9126136.0	9126136.0	9126136.0	9126136.0	NA	NA	9125934.0	9125934.0	9125934.0	9125934.0	7.0	3.0	7.0	3.0	9125934.0	9125934.0	7.0	3.0
MSM79HDQ_TR	5163527.0	5163527.0	5163527.0	5163527.0	NA	NA	5163029.0	5163029.0	5163029.0	5163029.0	11.0	15.0	11.0	15.0	5163029.0	5163029.0	11.0	15.0
MSM79HDS	5020561.0	5020561.0	5020561.0	5020561.0	NA	NA	5020384.0	5020384.0	5020384.0	5020384.0	2.0	5.0	2.0	5.0	5020384.0	5020384.0	2.0	5.0
MSM79HDU	11261265.0	11261265.0	11261265.0	11261265.0	NA	NA	11261144.0	11261144.0	11261144.0	11261144.0	5.0	5.0	5.0	5.0	11261144.0	11261144.0	5.0	5.0
MSM79HEA	16351397.0	16351397.0	16351397.0	16351397.0	NA	NA	16347278.0	16347278.0	16347278.0	16347278.0	87.0	90.0	87.0	90.0	16347278.0	16347278.0	87.0	90.0
MSM79HES	12954666.0	12954666.0	12954666.0	12954666.0	NA	NA	12949847.0	12949847.0	12949847.0	12949847.0	103.0	98.0	103.0	98.0	12949847.0	12949847.0	103.0	98.0
MSM79HEU	11752091.0	11752091.0	11752091.0	11752091.0	NA	NA	11738853.0	11738853.0	11738853.0	11738853.0	223.0	242.0	223.0	242.0	11738853.0	11738853.0	223.0	242.0
MSM79HEW	5558753.0	5558753.0	5558753.0	5558753.0	NA	NA	5552028.0	5552028.0	5552028.0	5552028.0	112.0	112.0	112.0	112.0	5552028.0	5552028.0	112.0	112.0
MSM79HEY	11924297.0	11924297.0	11924297.0	11924297.0	NA	NA	11924107.0	11924107.0	11924107.0	11924107.0	5.0	7.0	5.0	7.0	11924107.0	11924107.0	5.0	7.0
MSM79HF1_P	9829688.0	9829688.0	5849105.0	5849105.0	1533543.0	496260.0	5842984.0	5842984.0	5842984.0	5842984.0	1531797.0	495780.0	1531797.0	495780.0	5842984.0	5842984.0	1531797.0	495780.0
MSM79HF3	6640013.0	6640013.0	6640013.0	6640013.0	NA	NA	6639530.0	6639530.0	6639530.0	6639530.0	25.0	13.0	25.0	13.0	6639530.0	6639530.0	25.0	13.0
MSM79HF5	11721196.0	11721196.0	11721196.0	11721196.0	NA	NA	11694985.0	11694985.0	11694985.0	11694985.0	557.0	550.0	557.0	550.0	11694985.0	11694985.0	557.0	550.0
MSM79HF7	16129242.0	16129242.0	16129242.0	16129242.0	NA	NA	16126726.0	16126726.0	16126726.0	16126726.0	118.0	156.0	118.0	156.0	16126726.0	16126726.0	118.0	156.0
MSM79HF9	5421589.0	5421589.0	5421589.0	5421589.0	NA	NA	5358367.0	5358367.0	5358367.0	5358367.0	1083.0	1090.0	1083.0	1090.0	5358367.0	5358367.0	1083.0	1090.0
MSM79HF9_TR	5021346.0	5021346.0	5021346.0	5021346.0	NA	NA	4951563.0	4951563.0	4951563.0	4951563.0	1269.0	1260.0	1269.0	1260.0	4951563.0	4951563.0	1269.0	1260.0
MSM79HFB	22578395.0	22578395.0	22578395.0	22578395.0	NA	NA	22572747.0	22572747.0	22572747.0	22572747.0	127.0	152.0	127.0	152.0	22572747.0	22572747.0	127.0	152.0
MSM79HFW	14940538.0	14940538.0	14940538.0	14940538.0	NA	NA	14940303.0	14940303.0	14940303.0	14940303.0	2.0	8.0	2.0	8.0	14940303.0	14940303.0	2.0	8.0
MSM79HFY	15001775.0	15001775.0	15001775.0	15001775.0	NA	NA	15001680.0	15001680.0	15001680.0	15001680.0	2.0	2.0	2.0	2.0	15001680.0	15001680.0	2.0	2.0
MSM7J16J	8091136.0	8091136.0	8091136.0	8091136.0	NA	NA	8090722.0	8090722.0	8090722.0	8090722.0	10.0	14.0	10.0	14.0	8090722.0	8090722.0	10.0	14.0
MSM7J16L	15423903.0	15423903.0	15423903.0	15423903.0	NA	NA	15422503.0	15422503.0	15422503.0	15422503.0	25.0	20.0	25.0	20.0	15422503.0	15422503.0	25.0	20.0
MSM7J16N	7978006.0	7978006.0	7978006.0	7978006.0	NA	NA	7977798.0	7977798.0	7977798.0	7977798.0	6.0	4.0	6.0	4.0	7977798.0	7977798.0	6.0	4.0
MSM7J16P	11480253.0	11480253.0	11480253.0	11480253.0	NA	NA	11479056.0	11479056.0	11479056.0	11479056.0	17.0	27.0	17.0	27.0	11479056.0	11479056.0	17.0	27.0
MSM7J16R	13624718.0	13624718.0	13624718.0	13624718.0	NA	NA	13624381.0	13624381.0	13624381.0	13624381.0	7.0	9.0	7.0	9.0	13624381.0	13624381.0	7.0	9.0
MSM9VZEK	5030163.0	5030163.0	5030163.0	5030163.0	NA	NA	5030026.0	5030026.0	5030026.0	5030026.0	5.0	3.0	5.0	3.0	5030026.0	5030026.0	5.0	3.0
MSM9VZEK_TR	3667319.0	3667319.0	3667319.0	3667319.0	NA	NA	3667123.0	3667123.0	3667123.0	3667123.0	2.0	3.0	2.0	3.0	3667123.0	3667123.0	2.0	3.0
MSM9VZEM	9037270.0	9037270.0	9037270.0	9037270.0	NA	NA	9036692.0	9036692.0	9036692.0	9036692.0	13.0	18.0	13.0	18.0	9036692.0	9036692.0	13.0	18.0
MSM9VZEO	11438875.0	11438875.0	11438875.0	11438875.0	NA	NA	11438763.0	11438763.0	11438760.0	11438760.0	0.0	3.0	3.0	0.0	11438760.0	11438760.0	0.0	0.0
MSM9VZEQ	12346826.0	12346826.0	12346826.0	12346826.0	NA	NA	12344420.0	12344420.0	12344420.0	12344420.0	39.0	49.0	39.0	49.0	12344420.0	12344420.0	39.0	49.0
MSM9VZES	7508980.0	7508980.0	7508980.0	7508980.0	NA	NA	7507423.0	7507423.0	7507423.0	7507423.0	30.0	31.0	30.0	31.0	7507423.0	7507423.0	30.0	31.0
MSM9VZEU	11097376.0	11097376.0	11097376.0	11097376.0	NA	NA	11096966.0	11096966.0	11096966.0	11096966.0	12.0	13.0	12.0	13.0	11096966.0	11096966.0	12.0	13.0
MSM9VZEW	11924179.0	11924179.0	11924179.0	11924179.0	NA	NA	11923653.0	11923653.0	11923653.0	11923653.0	23.0	23.0	23.0	23.0	11923653.0	11923653.0	23.0	23.0
MSM9VZEY	16213174.0	16213174.0	16213174.0	16213174.0	NA	NA	16201381.0	16201381.0	16201381.0	16201381.0	271.0	267.0	271.0	267.0	16201381.0	16201381.0	271.0	267.0
